864,"с.","Ахрянско","KRZ","KRZ02","KRZ02-01",3,8,7,1483,8,81
878,"гр.","Ахтопол","BGS","BGS13","BGS13-01",1,4,1,1483,2,82
2018,"с.","Баба Стана","LOV","LOV34","LOV34-15",3,8,6,1483,10,83
2021,"с.","Баба Тонка","TGV","TGV24","TGV24-00",3,8,5,1483,25,84
2035,"с.","Бабек","PDV","PDV07","PDV07-00",3,8,5,1483,15,85
2049,"с.","Бабино","KNL","KNL04","KNL04-14",3,6,6,1483,9,86
2052,"с.","Бабинска река","KNL","KNL04","KNL04-00",3,8,6,1483,9,87
7884,"с.","Бабинци","LOV","LOV33","LOV33-14",3,7,7,1483,10,88
2066,"с.","Бабица","PER","PER08","PER08-00",3,8,7,1483,13,89
2076,"с.","Баблон","SML","SML31","SML31-30",3,8,8,1483,20,90
2083,"с.","Бабово","RSE","RSE33","RSE33-01",3,7,1,1483,17,91
2097,"с.","Бабук","SLS","SLS31","SLS31-02",3,7,2,1483,18,92
2107,"с.","Бабяк","BLG","BLG02","BLG02-01",3,6,8,1483,1,93
2110,"с.","Багалевци","VTR","VTR13","VTR13-00",3,8,5,1483,4,94
2124,"с.","Багра","KRZ","KRZ16","KRZ16-34",3,8,6,1483,8,95
2138,"с.","Багренци","KNL","KNL29","KNL29-01",3,6,5,1483,9,96
2141,"с.","Багрилци","KRZ","KRZ15","KRZ15-02",3,8,6,1483,8,97
2155,"с.","Багрянка","KRZ","KRZ21","KRZ21-01",3,7,5,1483,8,98
2169,"с.","Бадевци","VTR","VTR13","VTR13-00",3,8,6,1483,4,99
2172,"с.","Бадино","KNL","KNL05","KNL05-00",3,8,7,1483,9,100
2186,"с.","Баева ливада","GAB","GAB29","GAB29-00",3,8,6,1483,7,101
2191,"с.","Баевци","VTR","VTR13","VTR13-00",3,8,5,1483,4,102
2207,"с.","Баевци","GAB","GAB05","GAB05-00",3,8,5,1483,7,103
2213,"с.","Баждари","VTR","VTR13","VTR13-00",3,8,7,1483,4,104
2227,"с.","Байкал","PVN","PVN10","PVN10-01",3,7,1,1483,14,105
2230,"с.","Байкалско","PER","PER36","PER36-00",3,8,7,1483,13,106
2244,"с.","Байково","SHU","SHU11","SHU11-01",3,7,5,1483,27,107
2258,"с.","Байлово","SFO","SFO10","SFO10-02",3,7,7,1483,22,108
2261,"с.","Бакалите","KRZ","KRZ35","KRZ35-15",3,8,5,1483,8,109
2289,"с.","Бакьово","SFO","SFO43","SFO43-00",3,8,7,1483,22,110
2292,"с.","Балабаново","KRZ","KRZ21","KRZ21-27",3,8,5,1483,8,111
2302,"с.","Балабанско","LOV","LOV34","LOV34-00",3,7,6,1483,10,112
2322,"с.","Балабанчево","BGS","BGS23","BGS23-00",3,8,4,1483,2,113
2333,"с.","Балалея","GAB","GAB12","GAB12-00",3,8,5,1483,7,114
2347,"с.","Баланите","GAB","GAB05","GAB05-00",3,8,6,1483,7,115
2350,"с.","Баланово","KNL","KNL48","KNL48-01",3,7,5,1483,9,116
2364,"с.","Балван","VTR","VTR04","VTR04-02",3,6,5,1483,4,117
2378,"с.","Балванците","GAB","GAB12","GAB12-00",3,8,5,1483,7,118
2381,"с.","Балдево","BLG","BLG13","BLG13-01",3,7,6,1483,1,119
2395,"с.","Балей","VID","VID06","VID06-01",3,7,3,1483,5,120
2405,"с.","Балик","DOB","DOB27","DOB27-02",3,7,4,1483,24,121
2419,"с.","Балиновци","GAB","GAB05","GAB05-09",3,8,5,1483,7,122
2436,"с.","Балкан","HKV","HKV30","HKV30-12",3,7,5,1483,26,123
2453,"с.","Балкан махала","PDV","PDV15","PDV15-00",3,8,8,1483,15,124
2448,"с.","Балканец","LOV","LOV34","LOV34-02",3,7,6,1483,10,125
2467,"с.","Балкански","RAZ","RAZ26","RAZ26-01",3,7,4,1483,16,126
2470,"с.","Балканци","VTR","VTR31","VTR31-02",3,7,4,1483,4,127
2484,"с.","Балканци","DOB","DOB12","DOB12-00",3,8,3,1483,24,128
2498,"с.","Балуци","VTR","VTR13","VTR13-00",3,8,5,1483,4,129
2508,"гр.","Балчик","DOB","DOB03","DOB03-00",1,3,2,1483,24,130
2511,"с.","Балша","SOF","SOF46","SOF46-36",3,7,6,1483,21,131
2539,"с.","Бальовци","SFO","SFO20","SFO20-06",3,8,7,1483,22,132
